serviceId,serviceCategoryId
1,4
2,4
3,3
4,4
5,7
6,4
7,8
8,4
9,9
10,11
11,12
12,4
13,4
14,13
15,4
16,4
17,21
18,4
19,22
20,1
22,3
23,6
24,4
25,3
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,3
38,3
39,1
40,6
41,1
42,1
43,1
44,7
45,9
46,3
47,9
48,3
49,3
50,3
51,9
52,3
54,9
55,4
56,4
57,4
58,1
59,1
60,1
61,9
62,7
63,6
64,3
65,3
66,3
67,3
68,10
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,6
80,6
81,1
82,1
83,7
84,1
85,6
86,1
87,1
88,1
89,6
90,6
91,7
92,1
93,7
94,6
96,4
97,4
98,1
99,7
100,7
101,7
102,1
104,7
105,3
106,7
107,7
108,7
109,7
110,1
112,7
113,7
114,7
115,1
116,1
117,7
118,4
119,6
120,6
121,6
122,6
123,9
124,9
125,9
126,9
127,9
128,16
129,9
130,10
131,8
132,8
133,6
134,6
135,6
136,6
137,6
139,9
141,7
143,7
151,9
152,9
153,9
155,6
156,9
157,6
158,7
160,6
161,7
163,9
164,9
166,9
167,9
168,6
169,6
170,7
171,22
172,9
173,10
174,9
175,10
176,6
177,7
178,10
179,9
180,9
181,6
182,10
183,22
184,22
185,7
186,17
187,18
188,17
190,7
191,7
192,9
193,6
194,6
195,6
196,6
197,6
198,6
199,9
200,6
201,9
202,9
203,10
204,9
205,9
206,9
207,4
208,4
209,4
210,4
211,9
212,9
213,22
214,9
215,9
216,9
217,9
222,16
223,16
224,17
225,17
226,18
227,18
228,9
229,19
230,10
231,18
232,17
233,9
234,17
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,10
243,9
244,9
245,9
246,10
247,9
248,9
249,22
249,4
250,22
250,4
251,6
252,6
253,9
254,23
254,16
255,23
255,16
256,23
256,16
257,23
257,17
258,23
258,17
259,23
259,16
260,23
260,16
261,23
261,16
